关联医院code,关联医院名称,院边店code,院边店名称,"A类：
（院内店、HIS）"
N-H002492,成都双楠医院有限公司,#N/A,四川一心堂医药连锁有限公司武侯区置信路药店,N
N-H002492,成都双楠医院有限公司,N-R098531,四川海王星辰健康药房连锁有限公司武侯区逸都路药店,N
N-H002492,成都双楠医院有限公司,#N/A,四川一心堂医药连锁有限公司武侯区置信北街药店,N
N-H018773,宣城市中医医院,N-R147450,安徽国胜大药房连锁有限公司宣城安宁店,N
N-H018773,宣城市中医医院,#N/A,安徽丰原大药房连锁有限公司宣城法制路连锁店,N
N-H018773,宣城市中医医院,#N/A,安徽国胜大药房连锁有限公司宣城大唐凤凰城店,N
N-H018773,宣城市中医医院,#N/A,安徽国胜大药房连锁有限公司宣城中诚店,N
N-H018773,宣城市中医医院,#N/A,安徽国胜大药房连锁有限公司宣城统华店,N
N-H001686,绍兴市中心医院,N-R146137,浙江华通医药连锁有限公司育才路大药房,N
N-H001686,绍兴市中心医院,#N/A,浙江华通医药连锁有限公司绍兴市中心医院二店,N
N-H000635,安徽省儿童医院,N-R059169,南京医药合肥大药房连锁有限公司望江东路店,N
N-H000635,安徽省儿童医院,N-R159819,南京医药合肥大药房连锁有限公司望江路店,N
N-H000635,安徽省儿童医院,N-R147364,安徽国胜大药房连锁有限公司太宁花园店,N
N-H000635,安徽省儿童医院,N-R147368,阜阳国胜大药房连锁有限公司合肥水晶城店,N
N-H000635,安徽省儿童医院,#N/A,安徽国胜大药房连锁有限公司华苑小区店,N
N-H000635,安徽省儿童医院,#N/A,安徽国胜大药房连锁有限公司新里程店,N
N-H000635,安徽省儿童医院,N-R147452,安徽国胜大药房连锁有限公司科大花园店,N
N-H000635,安徽省儿童医院,#N/A,安徽国胜大药房连锁有限公司桐城绿苑店,N
N-H001279,江南大学附属医院（无锡市第四人民医院）,N-R153434,无锡海王星辰健康药房连锁有限公司青山店,N
N-H000769,青岛大学附属医院（市南院区）,N-R153335,青岛市海王星辰健康药房连锁有限公司观海二路店,N
N-H000769,青岛大学附属医院（市南院区）,N-R153756,青岛市海王星辰健康药房连锁有限公司市立医院店,N
N-H001234,南京鼓楼医院,#N/A,江苏益丰大药房连锁有限公司南京厚载巷店,N
N-H001234,南京鼓楼医院,N-R035236,高济再康（江苏）医药连锁有限公司丹凤街第二药店,N
N-H001234,南京鼓楼医院,N-R022745,高济再康（江苏）医药连锁有限公司高楼门药店,N
N-H001234,南京鼓楼医院,N-R090532,南京医药百信药房有限责任公司中山大药房,N
N-H000204,楚雄彝族自治州人民医院,N-R032394,一心堂药业集团股份有限公司楚雄环城西路连锁三店,N
N-H000204,楚雄彝族自治州人民医院,N-R135981,一心堂药业集团股份有限公司楚雄中大街连锁店,N
N-H000204,楚雄彝族自治州人民医院,N-R070580,云南健之佳连锁健康药房有限公司楚雄灵秀路分店,N
N-H000204,楚雄彝族自治州人民医院,N-R079595,云南健之佳连锁健康药房有限公司楚雄鹿城南路二分店,N
N-H000204,楚雄彝族自治州人民医院,N-R010022,一心堂药业集团股份有限公司楚雄半城巷连锁店,N
N-H000204,楚雄彝族自治州人民医院,N-R057884,云南健之佳连锁健康药房有限公司楚雄紫溪商业中心分店,N
N-H000204,楚雄彝族自治州人民医院,N-R074983,一心堂药业集团股份有限公司楚雄灵秀路连锁店,N
N-H000204,楚雄彝族自治州人民医院,#N/A,一心堂药业集团股份有限公司楚雄阳光大道连锁三店,N
N-H000204,楚雄彝族自治州人民医院,#N/A,一心堂药业集团股份有限公司楚雄灵秀路连锁二店,N
N-H000204,楚雄彝族自治州人民医院,N-R009872,一心堂药业集团股份有限公司楚雄中心店,N
N-H000204,楚雄彝族自治州人民医院,N-R033158,一心堂药业集团股份有限公司楚雄中大街连锁三店,N
N-H000204,楚雄彝族自治州人民医院,N-R050675,云南健之佳连锁健康药房有限公司楚雄东门街分店,N
N-H000204,楚雄彝族自治州人民医院,N-R074902,一心堂药业集团股份有限公司楚雄鹿城北路连锁二店,N
N-H000204,楚雄彝族自治州人民医院,N-R093910,云南健之佳连锁健康药房有限公司楚雄北浦小区分店,N
N-H000204,楚雄彝族自治州人民医院,#N/A,云南健之佳连锁健康药房有限公司楚雄航空路二分店,N
N-H000204,楚雄彝族自治州人民医院,N-R039230,一心堂药业集团股份有限公司楚雄富民安康连锁店,N
N-H000204,楚雄彝族自治州人民医院,N-R074785,一心堂药业集团股份有限公司楚雄胜景路连锁二店,N
N-H000204,楚雄彝族自治州人民医院,N-R010008,一心堂药业集团股份有限公司楚雄鹿城南路连锁三店,N
N-H000204,楚雄彝族自治州人民医院,N-R030142,一心堂药业集团股份有限公司楚雄学桥街连锁店,N
N-H000204,楚雄彝族自治州人民医院,N-R006717,云南白药大药房有限公司楚雄连锁店,N
N-H000204,楚雄彝族自治州人民医院,N-R096560,云南白药大药房有限公司楚雄丰胜路连锁店,N
N-H000204,楚雄彝族自治州人民医院,N-R057839,云南健之佳连锁健康药房有限公司楚雄金沙苑分店,N
N-H000204,楚雄彝族自治州人民医院,N-R093944,云南健之佳连锁健康药房有限公司楚雄玛雅小区分店,N
N-H000204,楚雄彝族自治州人民医院,N-R006803,一心堂药业集团股份有限公司楚雄鹿城西路连锁二店,N
N-H000204,楚雄彝族自治州人民医院,N-R050826,云南健之佳连锁健康药房有限公司楚雄丰胜路分店,N
N-H000204,楚雄彝族自治州人民医院,N-R032329,一心堂药业集团股份有限公司楚雄鹿城北路连锁店,N
N-H000204,楚雄彝族自治州人民医院,N-R060670,云南健之佳连锁健康药房有限公司楚雄鹿城西路二分店,N
N-H000204,楚雄彝族自治州人民医院,#N/A,云南健之佳连锁健康药房有限公司楚雄丰胜路五分店,N
N-H000204,楚雄彝族自治州人民医院,#N/A,云南健之佳连锁健康药房有限公司楚雄鹿城南路三分店,N
N-H000204,楚雄彝族自治州人民医院,N-R117260,云南健之佳连锁健康药房有限公司楚雄官屯小区分店,N
N-H000204,楚雄彝族自治州人民医院,N-R027239,一心堂药业集团股份有限公司楚雄永安路连锁二店,N
N-H000204,楚雄彝族自治州人民医院,N-R075075,一心堂药业集团股份有限公司楚雄德江路连锁店,N
N-H000783,青岛市市立医院本部,N-R153756,青岛市海王星辰健康药房连锁有限公司市立医院店,N
N-H000783,青岛市市立医院本部,N-R153335,青岛市海王星辰健康药房连锁有限公司观海二路店,N
N-H025334,费县人民医院,N-R034287,国药控股国大药房山东有限公司费县蓝色港湾连锁店,N
N-H025334,费县人民医院,N-R035912,国药控股国大药房山东有限公司费县自由路连锁店,N
N-H009519,德驭医疗马鞍山总医院,N-R149537,马鞍山国胜曼迪新大药房连锁有限公司站东新村店,N
N-H009519,德驭医疗马鞍山总医院,N-R151970,马鞍山国胜曼迪新大药房连锁有限公司健康新村店,N
N-H009519,德驭医疗马鞍山总医院,#N/A,马鞍山国胜曼迪新大药房连锁有限公司城建村店,N
N-H009519,德驭医疗马鞍山总医院,N-R160978,马鞍山国胜曼迪新大药房连锁有限公司绿地世纪城店,N
N-H009519,德驭医疗马鞍山总医院,#N/A,马鞍山国胜曼迪新大药房连锁有限公司国际华城店,N
N-H009519,德驭医疗马鞍山总医院,#N/A,马鞍山国胜曼迪新大药房连锁有限公司香榭园店,N
N-H009519,德驭医疗马鞍山总医院,#N/A,马鞍山国胜曼迪新大药房连锁有限公司钟村店,N
N-H009519,德驭医疗马鞍山总医院,#N/A,马鞍山国胜曼迪新大药房连锁有限公司新风菜场店,N
N-H009519,德驭医疗马鞍山总医院,#N/A,马鞍山国胜曼迪新大药房连锁有限公司朝阳路店,N
N-H009519,德驭医疗马鞍山总医院,#N/A,马鞍山国胜曼迪新大药房连锁有限公司东升新村店,N
N-H009519,德驭医疗马鞍山总医院,#N/A,马鞍山国胜曼迪新大药房连锁有限公司金安佳苑店,N
N-H009519,德驭医疗马鞍山总医院,#N/A,马鞍山国胜曼迪新大药房连锁有限公司和平楼店,N
N-H009519,德驭医疗马鞍山总医院,#N/A,南京医药合肥大药房连锁有限公司马鞍山健康路店,N
N-H017403,重庆市铜梁区人民医院,#N/A,重庆正和祥大药房连锁有限公司铜梁区东莘路店,N
N-H017403,重庆市铜梁区人民医院,#N/A,重庆正和祥大药房连锁有限公司铜梁区东莘路二店,N
N-H017403,重庆市铜梁区人民医院,#N/A,重庆正和祥大药房连锁有限公司铜梁区东莘路三店,N
N-H017403,重庆市铜梁区人民医院,#N/A,重庆鸿翔一心堂药业有限公司铜梁时尚鑫街店,N
N-H017403,重庆市铜梁区人民医院,#N/A,重庆正和祥大药房连锁有限公司铜梁区迎春东路店,N
N-H017403,重庆市铜梁区人民医院,#N/A,重庆鸿翔一心堂药业有限公司铜梁水岸国际北区店,N
N-H017403,重庆市铜梁区人民医院,#N/A,重庆鸿翔一心堂药业有限公司铜梁龙腾盛世店,N
N-H017403,重庆市铜梁区人民医院,N-R145006,重庆和平药房连锁有限责任公司铜梁区龙腾盛世店,N
N-H017403,重庆市铜梁区人民医院,#N/A,重庆正和祥大药房连锁有限公司铜梁区庙坡路店,N
N-H017403,重庆市铜梁区人民医院,#N/A,重庆市万家燕大药房连锁有限公司铜梁区东莘路店,N
N-H017403,重庆市铜梁区人民医院,#N/A,重庆鸿翔一心堂药业有限公司铜梁世纪阳光二店,N
N-H017403,重庆市铜梁区人民医院,#N/A,重庆鸿翔一心堂药业有限公司铜梁学府大道店,N
N-H000747,聊城市人民医院,N-R070783,山东德信堂医药连锁有限公司旗舰店,N
N-H039404,重庆智星康儿童医院有限公司,#N/A,重庆鑫斛药房连锁有限公司金童路二店,N
N-H039404,重庆智星康儿童医院有限公司,#N/A,重庆健之佳健康药房连锁有限公司两江新区金渝大道二分店,N
N-H039404,重庆智星康儿童医院有限公司,N-R135811,重庆万鑫药房连锁有限公司两江新区龙渊街药店,N
N-H039404,重庆智星康儿童医院有限公司,N-R117437,重庆和平药房连锁有限责任公司龙睛路连锁店,N
N-H000946,广州医科大学附属第三医院,N-R044527,大参林医药集团股份有限公司第九百九十六分店,N
N-H000946,广州医科大学附属第三医院,N-R131789,广东大参林柏康连锁药店有限公司第一万四千五百零七分店,N
N-H000946,广州医科大学附属第三医院,N-R051875,大参林医药集团股份有限公司泮塘分店,N
N-H013187,东莞市第八人民医院（东莞市儿童医院）,#N/A,东莞石龙国药龙田药店有限公司,N
N-H000900,北京大学深圳医院（北京大学深圳临床医学院）,N-R097194,深圳市海王星辰健康药房连锁有限公司福田宝莲大厦健康药房,N
N-H000900,北京大学深圳医院（北京大学深圳临床医学院）,N-R037329,深圳市南北药行连锁有限公司莲花北一分店,N
N-H000900,北京大学深圳医院（北京大学深圳临床医学院）,#N/A,深圳市南北药行连锁有限公司南北药行梅林分店,N
N-H000900,北京大学深圳医院（北京大学深圳临床医学院）,N-R094165,深圳市南北药行连锁有限公司景诚园分店,N
N-H000900,北京大学深圳医院（北京大学深圳临床医学院）,#N/A,深圳市宝华药行连锁有限公司红梅苑分店,N
N-H000900,北京大学深圳医院（北京大学深圳临床医学院）,N-R094160,深圳市海王星辰健康药房连锁有限公司布尾村健康药房,N
N-H053878,安庆市精神病医院,#N/A,安庆国胜大药房连锁有限公司新宜小区分店,N
N-H000978,广州市红十字会医院（暨南大学医学院附属广州红十字会医院）,#N/A,广东大参林柏康连锁药店有限公司宝岗大道分店,N
N-H000978,广州市红十字会医院（暨南大学医学院附属广州红十字会医院）,N-R132620,广东大参林柏康连锁药店有限公司敦和路二分店,N
N-H000978,广州市红十字会医院（暨南大学医学院附属广州红十字会医院）,N-R044472,广东大参林柏康连锁药店有限公司二龙街分店,N
N-H000978,广州市红十字会医院（暨南大学医学院附属广州红十字会医院）,N-R113683,广州市海王星辰医药连锁有限公司南田路健康药房,N
N-H000978,广州市红十字会医院（暨南大学医学院附属广州红十字会医院）,N-R124232,广东大参林柏康连锁药店有限公司第六千三百五十九分店,N
N-H041232,广州小懂健康互联网医院有限公司,N-R169464,广东润和医药连锁有限公司渔兴路分店,N
N-H001788,湖北省中西医结合医院（湖北省新华医院）,#N/A,老百姓大药房连锁（湖北）有限公司武汉三眼桥北路店,N
N-H001788,湖北省中西医结合医院（湖北省新华医院）,#N/A,湖北益生天济大药房连锁有限公司三眼桥店,N
N-H001788,湖北省中西医结合医院（湖北省新华医院）,N-R168325,湖北益丰大药房连锁有限公司武汉北湖正街分店,N
N-H001788,湖北省中西医结合医院（湖北省新华医院）,#N/A,老百姓大药房连锁（湖北）有限公司武汉香江花园店,N
N-H001788,湖北省中西医结合医院（湖北省新华医院）,#N/A,湖北益生天济大药房连锁有限公司百步亭花园店,N
N-H001788,湖北省中西医结合医院（湖北省新华医院）,#N/A,好药师大药房连锁有限公司香港路店,N
N-H001788,湖北省中西医结合医院（湖北省新华医院）,N-R038586,湖北益丰大药房连锁有限公司武汉百花路分店,N
N-H001788,湖北省中西医结合医院（湖北省新华医院）,#N/A,湖北益丰大药房连锁有限公司武汉冶金一街二分店,N
N-H001788,湖北省中西医结合医院（湖北省新华医院）,#N/A,湖北益生天济大药房连锁有限公司北湖正街店,N
N-H001788,湖北省中西医结合医院（湖北省新华医院）,#N/A,湖北益生天济大药房连锁有限公司香江花园店,N
N-H001788,湖北省中西医结合医院（湖北省新华医院）,N-R045711,湖北益丰大药房连锁有限公司武汉三眼桥分店,N
N-H001788,湖北省中西医结合医院（湖北省新华医院）,#N/A,老百姓大药房连锁（湖北）有限公司武汉天门墩店,N
N-H001788,湖北省中西医结合医院（湖北省新华医院）,#N/A,湖北益丰大药房连锁有限公司武汉北湖分店,N
N-H001788,湖北省中西医结合医院（湖北省新华医院）,N-R046028,湖北益丰大药房连锁有限公司武汉荷花池分店,N
N-H001788,湖北省中西医结合医院（湖北省新华医院）,#N/A,老百姓大药房连锁（湖北）有限公司武汉北湖店,N
N-H001788,湖北省中西医结合医院（湖北省新华医院）,#N/A,湖北益丰大药房连锁有限公司武汉北湖路分店,N
N-H001788,湖北省中西医结合医院（湖北省新华医院）,N-R045727,湖北益丰大药房连锁有限公司武汉香港路分店,N
N-H001788,湖北省中西医结合医院（湖北省新华医院）,#N/A,武汉益丰江瀚大药房连锁有限公司海虹景分店,N
N-H001788,湖北省中西医结合医院（湖北省新华医院）,N-R153011,武汉海王星辰医药连锁有限公司香榭琴台店,N
N-H001788,湖北省中西医结合医院（湖北省新华医院）,#N/A,湖北益丰大药房连锁有限公司武汉峰景湾分店,N
N-H001788,湖北省中西医结合医院（湖北省新华医院）,N-R155812,湖北益丰大药房连锁有限公司武汉云梦台分店,N
N-H001788,湖北省中西医结合医院（湖北省新华医院）,N-R069405,老百姓大药房连锁（湖北）有限公司武汉万科汉口传奇悦庭店,N
N-H001788,湖北省中西医结合医院（湖北省新华医院）,#N/A,湖北益丰大药房连锁有限公司武汉宇济花园分店,N
N-H001788,湖北省中西医结合医院（湖北省新华医院）,#N/A,湖北益丰大药房连锁有限公司武汉万年街分店,N
N-H001788,湖北省中西医结合医院（湖北省新华医院）,#N/A,湖北益生天济大药房连锁有限公司雪松路店,N
N-H001788,湖北省中西医结合医院（湖北省新华医院）,#N/A,湖北益丰大药房连锁有限公司武汉邮政小区分店,N
N-H001788,湖北省中西医结合医院（湖北省新华医院）,N-R049881,国药控股（湖北）汉口大药房有限公司马场路分店,N
N-H001788,湖北省中西医结合医院（湖北省新华医院）,#N/A,武汉益丰江瀚大药房连锁有限公司阳光分店,N
N-H001788,湖北省中西医结合医院（湖北省新华医院）,#N/A,湖北益生天济大药房连锁有限公司新湾五路店,N
N-H002296,哈尔滨医科大学附属肿瘤医院（哈医大三院、黑龙江省肿瘤医院）,N-R115261,黑龙江省大众平安医药连锁有限公司哈平路大药房,N
N-H002296,哈尔滨医科大学附属肿瘤医院（哈医大三院、黑龙江省肿瘤医院）,N-R048610,黑龙江省大众平安医药连锁有限公司中山路分店,N
N-H002296,哈尔滨医科大学附属肿瘤医院（哈医大三院、黑龙江省肿瘤医院）,N-R124842,黑龙江省大众平安医药连锁有限公司电机新村大药房,N
N-H002296,哈尔滨医科大学附属肿瘤医院（哈医大三院、黑龙江省肿瘤医院）,N-R054324,黑龙江省大众平安医药连锁有限公司宏发大药房,N
N-H002296,哈尔滨医科大学附属肿瘤医院（哈医大三院、黑龙江省肿瘤医院）,N-R011136,哈尔滨人民同泰医药连锁有限公司绿洲分店,N
N-H002296,哈尔滨医科大学附属肿瘤医院（哈医大三院、黑龙江省肿瘤医院）,#N/A,哈尔滨健康医药连锁有限公司新远大分店,N
N-H002296,哈尔滨医科大学附属肿瘤医院（哈医大三院、黑龙江省肿瘤医院）,#N/A,哈尔滨健康医药连锁有限公司远大分店,N
N-H000779,青岛市妇女儿童医院,N-R101647,青岛市海王星辰健康药房连锁有限公司同福路店,N
N-H007697,北京市西城区广外医院（北京市西城区广外老年医院）,#N/A,北京同仁堂连锁药店有限责任公司和庭药店,N
N-H007697,北京市西城区广外医院（北京市西城区广外老年医院）,N-R085445,北京好药师大药房连锁有限公司马连道店,N
N-H009160,长春市第六医院,N-R024400,吉林大药房药业股份有限公司上台花园连锁店,N
N-H009160,长春市第六医院,#N/A,国大益和大药房吉林有限公司长春苏州南街连锁店,N
N-H009160,长春市第六医院,N-R034988,吉林大药房药业股份有限公司庆丰路连锁店,N
N-H007060,大理大学第一附属医院（云南省第四人民医院）,N-R070635,云南健之佳连锁健康药房有限公司大理人民北路三分店,N
N-H007060,大理大学第一附属医院（云南省第四人民医院）,N-R039320,一心堂药业集团股份有限公司下关雪人路连锁店,N
N-H007060,大理大学第一附属医院（云南省第四人民医院）,N-R050554,云南健之佳连锁健康药房有限公司大理花韵蓝湾分店,N
N-H007060,大理大学第一附属医院（云南省第四人民医院）,N-R127456,云南健之佳连锁健康药房有限公司大理雪人路分店,N
N-H007060,大理大学第一附属医院（云南省第四人民医院）,N-R091951,一心堂药业集团股份有限公司下关雪人路连锁二店,N
N-H007060,大理大学第一附属医院（云南省第四人民医院）,N-R139319,云南健之佳连锁健康药房有限公司大理雪人路二分店,N
N-H007060,大理大学第一附属医院（云南省第四人民医院）,N-R057830,云南健之佳连锁健康药房有限公司大理泰安桥分店,N
N-H007060,大理大学第一附属医院（云南省第四人民医院）,N-R074919,一心堂药业集团股份有限公司下关惠丰瑞城连锁二店,N
N-H007060,大理大学第一附属医院（云南省第四人民医院）,N-R027215,一心堂药业集团股份有限公司下关万花路连锁店,N
N-H007060,大理大学第一附属医院（云南省第四人民医院）,N-R057869,云南健之佳连锁健康药房有限公司大理正阳时代分店,N
N-H007060,大理大学第一附属医院（云南省第四人民医院）,N-R031115,一心堂药业集团股份有限公司下关西大街连锁店,N
N-H007060,大理大学第一附属医院（云南省第四人民医院）,N-R050590,云南健之佳连锁健康药房有限公司大理龙兴园分店,N
N-H007060,大理大学第一附属医院（云南省第四人民医院）,N-R050559,云南健之佳连锁健康药房有限公司大理惠丰瑞城分店,N
N-H007060,大理大学第一附属医院（云南省第四人民医院）,N-R117258,云南健之佳连锁健康药房有限公司嘉仕伯大道分店,N
N-H007060,大理大学第一附属医院（云南省第四人民医院）,N-R070578,云南健之佳连锁健康药房有限公司大理嘉士伯大道二分店,N
N-H007060,大理大学第一附属医院（云南省第四人民医院）,#N/A,一心堂药业集团股份有限公司下关人民北路连锁店,N
N-H007060,大理大学第一附属医院（云南省第四人民医院）,N-R070681,云南健之佳连锁健康药房有限公司大理惠丰瑞城二分店,N
N-H007060,大理大学第一附属医院（云南省第四人民医院）,#N/A,云南健之佳连锁健康药房有限公司大理人民街分店,N
N-H007060,大理大学第一附属医院（云南省第四人民医院）,N-R050895,云南健之佳连锁健康药房有限公司大理海天苑分店,N
N-H007060,大理大学第一附属医院（云南省第四人民医院）,N-R052701,云南健之佳连锁健康药房有限公司大理洱河北路分店,N
N-H007060,大理大学第一附属医院（云南省第四人民医院）,N-R050661,云南健之佳连锁健康药房有限公司大理兴国路分店,N
N-H007060,大理大学第一附属医院（云南省第四人民医院）,N-R006982,云南白药大药房有限公司下关人民路连锁店,N
N-H007060,大理大学第一附属医院（云南省第四人民医院）,N-R074608,一心堂药业集团股份有限公司下关花韵蓝山连锁店,N
N-H007060,大理大学第一附属医院（云南省第四人民医院）,N-R104257,一心堂药业集团股份有限公司下关建设西路连锁二店,N
N-H007060,大理大学第一附属医院（云南省第四人民医院）,#N/A,一心堂药业集团股份有限公司下关惠丰瑞城连锁店,N
N-H007060,大理大学第一附属医院（云南省第四人民医院）,#N/A,一心堂药业集团股份有限公司下关龙溪路连锁四店,N
N-H007060,大理大学第一附属医院（云南省第四人民医院）,N-R137666,云南健之佳连锁健康药房有限公司大理新世纪花园分店,N
N-H007060,大理大学第一附属医院（云南省第四人民医院）,#N/A,一心堂药业集团股份有限公司下关龙溪路连锁二店,N
N-H007060,大理大学第一附属医院（云南省第四人民医院）,N-R050601,云南健之佳连锁健康药房有限公司大理人民北路二分店,N
N-H000851,东莞市第五人民医院（东莞市太平人民医院）,N-R129038,深圳市海王星辰健康药房连锁有限公司东莞虎门地标广场分店,N
N-H000851,东莞市第五人民医院（东莞市太平人民医院）,N-R165744,东莞虎门国药地标药店有限公司,N
N-H000851,东莞市第五人民医院（东莞市太平人民医院）,N-R079574,东莞市大参林连锁药店有限公司虎门怡康分店,N
N-H000851,东莞市第五人民医院（东莞市太平人民医院）,#N/A,东莞虎门国药华园药店有限公司,N
N-H018536,广东省英德市人民医院,N-R134518,清远大参林连锁药店有限公司英德滨江尚品分店,N
N-H018536,广东省英德市人民医院,#N/A,清远大参林连锁药店有限公司英德维多利分店,N
N-H007928,广西壮族自治区妇幼保健院（儿童医院、妇产医院）厢竹院区,#N/A,广西医大大药房连锁有限责任公司长堽便利店,N
N-H001128,广西壮族自治区江滨医院,N-R012329,广西桂中大药房连锁有限责任公司南宁竹溪大道分公司,N
N-H001128,广西壮族自治区江滨医院,#N/A,广西健之佳药店连锁有限公司南宁柳沙新时代分店,N
N-H001128,广西壮族自治区江滨医院,#N/A,柳州桂中大药房连锁有限责任公司南宁雍景湾分公司,N
N-H000977,广州市惠爱医院（广州市精神病医院、广州市脑科医院、广州医科大学附属脑科医院）,N-R135298,广东大参林柏康连锁药店有限公司第一万二千九百六十分店,N
N-H053888,贵州中医药大学第二附属医院红岩医院,N-R061337,贵州正和祥药业有限公司七十一分店,N
N-H053888,贵州中医药大学第二附属医院红岩医院,N-R048756,贵州正和祥药业有限公司六十四分店,N
N-H053888,贵州中医药大学第二附属医院红岩医院,#N/A,贵州一品大药房连锁有限公司三百八十五分店,N
N-H053888,贵州中医药大学第二附属医院红岩医院,N-R076768,贵州一树药业股份有限公司油榨街分店,N
N-H053888,贵州中医药大学第二附属医院红岩医院,#N/A,贵州一品大药房连锁有限公司四十七分店,N
N-H053888,贵州中医药大学第二附属医院红岩医院,#N/A,贵州一品大药房连锁有限公司七十六分店,N
N-H053888,贵州中医药大学第二附属医院红岩医院,N-R077306,贵州一树药业股份有限公司东山路分店,N
N-H053888,贵州中医药大学第二附属医院红岩医院,#N/A,贵州一品大药房连锁有限公司一百一十一分店,N
N-H053888,贵州中医药大学第二附属医院红岩医院,N-R116175,贵州一品药业连锁有限公司三分店,N
N-H053888,贵州中医药大学第二附属医院红岩医院,N-R140598,贵州一品大药房连锁有限公司零三分店,N
N-H053888,贵州中医药大学第二附属医院红岩医院,#N/A,贵州正和祥药业有限公司一千一百一十六分店,N
N-H053888,贵州中医药大学第二附属医院红岩医院,#N/A,贵州瑞祥康大药房医药连锁有限公司南明八分店,N
N-H001362,邯郸市人民医院,#N/A,石家庄新兴药房连锁有限公司邯郸陵西店,N
N-H001362,邯郸市人民医院,#N/A,邯郸市新兴永康益家医药连锁有限公司邯山区东柳西街药房,N
N-H001362,邯郸市人民医院,#N/A,神威大药房连锁（邯郸）有限公司邯山区鸿运园分店,N
N-H001362,邯郸市人民医院,#N/A,河北新兴药房连锁有限公司邯郸现代奥城店,N
N-H001362,邯郸市人民医院,#N/A,邯郸市宜生医药连锁有限公司丛台区幸福路店,N
N-H003344,湖北航天医院,#N/A,湖北益丰大药房连锁有限公司孝感北京二路二分店,N
N-H003344,湖北航天医院,N-R156376,武汉海王星辰医药连锁有限公司孝感保丽公馆店,N
N-H003344,湖北航天医院,#N/A,湖北益丰大药房连锁有限公司孝感东苑小区分店,N
N-H017691,湖北民族大学附属民大医院,#N/A,恩施元昌医药连锁有限公司土桥大道分店,N
N-H017691,湖北民族大学附属民大医院,#N/A,恩施元昌医药连锁有限公司圣医堂药店,N
N-H017691,湖北民族大学附属民大医院,#N/A,恩施元昌医药连锁有限公司中港城分店,N
N-H017691,湖北民族大学附属民大医院,#N/A,恩施元昌医药连锁有限公司佰悦广场分店,N
N-H017691,湖北民族大学附属民大医院,#N/A,恩施元昌医药连锁有限公司民众药店,N
N-H017691,湖北民族大学附属民大医院,#N/A,恩施元昌医药连锁有限公司土桥坝三分店,N
N-H017691,湖北民族大学附属民大医院,#N/A,恩施元昌医药连锁有限公司民达分店,N
N-H017691,湖北民族大学附属民大医院,#N/A,恩施元昌医药连锁有限公司土桥坝药店,N
N-H017691,湖北民族大学附属民大医院,#N/A,恩施元昌医药连锁有限公司恩施第一百三十分店,N
N-H017691,湖北民族大学附属民大医院,#N/A,恩施元昌医药连锁有限公司沙湾分店,N
N-H017691,湖北民族大学附属民大医院,#N/A,恩施元昌医药连锁有限公司三孔桥分店,N
N-H021713,怀化市第二人民医院靖州医院,#N/A,湖南老百姓怀仁药房连锁有限公司靖州飞山新城店,N
N-H021713,怀化市第二人民医院靖州医院,#N/A,湖南老百姓怀仁药房连锁有限公司靖州福生堂店,N
N-H021713,怀化市第二人民医院靖州医院,#N/A,湖南老百姓怀仁药房连锁有限公司靖州飞山西路店,N
N-H021713,怀化市第二人民医院靖州医院,#N/A,湖南老百姓怀仁药房连锁有限公司靖州建国桥二店,N
N-H021713,怀化市第二人民医院靖州医院,#N/A,湖南老百姓怀仁药房连锁有限公司靖州汽车站二店,N
N-H017641,惠州市第一妇幼保健院,N-R100739,惠州市百姓大药房医药连锁有限公司惠泽南苑店,N
N-H017641,惠州市第一妇幼保健院,N-R116108,惠州市百姓缘医药有限公司美地花园店,N
N-H017641,惠州市第一妇幼保健院,N-R062539,惠州市卫康药房连锁有限公司马庄一幼便民分店,N
N-H017641,惠州市第一妇幼保健院,N-R096842,深圳市海王星辰健康药房连锁有限公司惠州妇幼马庄健康药房,N
N-H017641,惠州市第一妇幼保健院,#N/A,惠州市大参林药店有限公司演达分店,N
N-H017641,惠州市第一妇幼保健院,#N/A,惠州市百姓缘医药有限公司惠城区德明华府店,N
N-H017641,惠州市第一妇幼保健院,N-R166893,惠州市百姓大药房医药连锁有限公司瑞和家园店,N
N-H017641,惠州市第一妇幼保健院,#N/A,惠州市百姓缘医药有限公司鸿昌路店,N
N-H017641,惠州市第一妇幼保健院,#N/A,惠州市大参林药店有限公司演达三路分店,N
N-H017641,惠州市第一妇幼保健院,N-R166577,惠州市百姓大药房医药连锁有限公司惠城演达路店,N
N-H001395,开封市中心医院,#N/A,北京同仁堂河南连锁药店有限公司开封一分店,N
N-H039200,凉山彝族自治州中西医结合医院,#N/A,四川龙一药品零售连锁有限公司西昌益民堂药店,N
N-H039200,凉山彝族自治州中西医结合医院,N-R131429,四川龙一药品零售连锁有限公司西昌御膳堂大药房,N
N-H039200,凉山彝族自治州中西医结合医院,N-R089487,四川龙一药品零售连锁有限公司西昌民康大药房,N
N-H039200,凉山彝族自治州中西医结合医院,#N/A,四川一心堂医药连锁有限公司西昌三岔口东路店,N
N-H039200,凉山彝族自治州中西医结合医院,#N/A,四川正和祥健康药房连锁有限公司三岔口东路店,N
N-H039200,凉山彝族自治州中西医结合医院,#N/A,四川龙一药品零售连锁有限公司西昌悦康药店,N
